Index,Account Name,Amount
1,leedongwegel,100000
2,guztgojug4ge,50000
3,guztemjxhage,30000
4,haydmnrsguge,10000
5,tongyitongyi,10000
6,superjeonguk,10000
7,honghong1111,10000
8,gu2dsnjwgage,10000
9,giztmobxg4ge,10000
10,gu2dcnbvhege,10000
11,guzdgmrwgyge,5000
12,qhemfkvkcjs1,5000
13,hazdmnjvg4ge,5000
14,gu4danbtgmge,5000
15,1234superman,5000
16,gu4dgmbwgege,5000
17,g43temrug4ge,5000
18,yetanotherme,5000
19,ha4dkobuguge,5000
20,gu3dgmjxhege,5000
21,iceamericano,5000
22,cooperdance1,5000
23,gq3tmmrygyge,5000
24,g44tgnzshage,5000
25,geydsnzzgene,5000
26,eosminkyucho,5000
27,geytemjvgyge,5000
28,rogerscrypto,5000
29,eoswhenmoons,5000
30,onemorescoop,5000
31,dayvallyonni,5000
32,gu3tgmryhege,5000
33,gizdqobrgqge,5000
34,gezdgojvgene,5000
35,giytmmzxgqge,5000
36,ha2tamjzgage,5000
37,gmztsobtguge,5000
38,gu3dqnrqgage,5000
39,gm4tenjqhage,5000
40,haytomzrhage,5000
41,g44denjrgige,5000
42,g42damzzgene,5000
43,gqztmnbtgage,5000
44,gapboo33rich,5000
45,goril5151511,5000
46,ge3dgojvhege,5000
47,newt2222xxxx,5000
48,12znakowlipa,5000
49,eosramazotti,5000
50,gyzdiobuhage,5000
