Index,Account Name,Amount
1,gu3tgmryhege,100000
2,theguestsera,50000
3,hazdmnjvg4ge,30000
4,iceamericano,10000
5,prettybeauty,10000
6,gyzdmobtgige,10000
7,eosminkyucho,10000
8,psseospsseos,10000
9,pingpongwang,10000
10,webframework,10000
11,gu3dqnzyguge,5000
12,gu2tgobvgyge,5000
13,gu4danbtgmge,5000
14,eoslohamave1,5000
15,gu2donbtgyge,5000
16,eosiomaster1,5000
17,gu3tcmbzg4ge,5000
18,haydembvgege,5000
19,josephlee242,5000
20,huntsyoon123,5000
21,gu3tamrxgage,5000
22,gu3tanjuhege,5000
23,redsungtoken,5000
24,wonchul22eos,5000
25,huamandubear,5000
26,gyytgmzxgige,5000
27,gregoryhouse,5000
28,wonchul33eos,5000
29,gu3domruguge,5000
30,gyzdmobyhage,5000
31,gu3dkmbrgige,5000
32,howisitgoing,5000
33,haytcmjrgige,5000
34,gu2timrugmge,5000
35,haydinjshage,5000
36,g44dqnjygmge,5000
37,gyytknzuhage,5000
38,gyydgojyguge,5000
39,cacaopower51,5000
40,gu3tambsgege,5000
41,janaschiffer,5000
42,cooperdance1,5000
43,hjeosaccount,5000
44,eosramazotti,5000
45,tongyitongyi,5000
46,ge4tgmruguge,5000
47,depurant1111,5000
48,gm4timzwgmge,5000
49,gm2dinzwgage,5000
50,gu3dknjtgige,5000
