creation_time,account_name,total_eos
40:52.5,11111111111h,0
40:29.5,11111111111g,0
2018-06-12 5:54,1.11111E+11,10.4648
41:00.5,1.11111E+11,0.2102
43:05.5,11111111111i,0
07:13.5,1.11111E+11,0
2018-06-12 2:06,1.11111E+11,0
2018-06-10 13:04,1.11111E+11,0.1009
47:23.5,11111111111l,0
2018-06-12 18:48,11111111111k,0
2018-06-13 4:55,11111111111j,0.0003
07:09.5,11111111111m,0.0002
00:48.5,11111111111a,0.2001
2018-06-13 4:57,11111111111n,0.0003
32:13.5,11111111111c,0
33:40.5,11111111111d,0
36:07.5,11111111111e,0
22:09.5,11111111111b,0.2001
07:45.5,11111111111o,0
2018-06-13 1:07,11111111111p,0
2018-06-13 1:08,11111111111q,0
11:40.5,11111111111t,0
2018-06-13 1:10,11111111111r,0
2018-06-12 18:38,11111111111f,0
2018-06-13 1:10,11111111111s,0
12:25.5,11111111111u,0
31:48.5,11111111111x,0
19:00.5,11111111111w,0
2018-06-13 1:03,11111111111v,0
24:53.5,eoscafekorea,11.296
